grade,region_group,task_id,score
9,MO,№,1.0
9,MO,9.1,10.0
9,MO,9.2,10.0
9,MO,9.3,10.0
9,MO,9.4,9.0
9,MO,9.5,7.0
9,MO,9.6,10.0
9,MO,9.7,14.0
9,MO,9.8,15.0
9,MO,9.1.1,4.0
9,MO,9.2.1,4.0
9,MO,9.3.1,2.0
9,MO,9.4.1,5.0
9,MO,9.5.1,1.0
9,MO,9.6.1,4.0
9,MO,9.7.1,5.0
9,MO,Теор,56.0
9,MO,Прак,29.0
9,MO,Блиц,25.0
9,MO,№,2.0
9,MO,9.1,6.0
9,MO,9.2,10.0
9,MO,9.3,4.0
9,MO,9.4,8.0
9,MO,9.5,9.0
9,MO,9.6,9.0
9,MO,9.7,14.0
9,MO,9.8,15.0
9,MO,9.1.1,3.0
9,MO,9.2.1,4.0
9,MO,9.3.1,5.0
9,MO,9.4.1,5.0
9,MO,9.5.1,3.0
9,MO,9.6.1,5.0
9,MO,9.7.1,5.0
9,MO,Теор,46.0
9,MO,Прак,29.0
9,MO,Блиц,30.0
9,MO,№,3.0
9,MO,9.1,8.0
9,MO,9.2,6.0
9,MO,9.3,2.0
9,MO,9.4,10.0
9,MO,9.5,9.0
9,MO,9.6,10.0
9,MO,9.7,14.0
9,MO,9.8,14.0
9,MO,9.1.1,4.0
9,MO,9.2.1,2.0
9,MO,9.3.1,4.0
9,MO,9.4.1,5.0
9,MO,9.5.1,4.0
9,MO,9.6.1,5.0
9,MO,9.7.1,5.0
9,MO,Теор,45.0
9,MO,Прак,28.0
9,MO,Блиц,29.0
9,MO,№,4.0
9,MO,9.1,10.0
9,MO,9.2,0.0
9,MO,9.3,9.0
9,MO,9.4,9.0
9,MO,9.5,9.0
9,MO,9.6,10.0
9,MO,9.7,15.0
9,MO,9.8,15.0
9,MO,9.1.1,2.0
9,MO,9.2.1,4.0
9,MO,9.3.1,0.0
9,MO,9.4.1,4.0
9,MO,9.5.1,2.0
9,MO,9.6.1,4.0
9,MO,9.7.1,5.0
9,MO,Теор,47.0
9,MO,Прак,30.0
9,MO,Блиц,21.0
9,Rest,№,5.0
9,Rest,9.1,3.0
9,Rest,9.2,6.0
9,Rest,9.3,7.0
9,Rest,9.4,9.0
9,Rest,9.5,4.0
9,Rest,9.6,9.0
9,Rest,9.7,15.0
9,Rest,9.8,15.0
9,Rest,9.1.1,4.0
9,Rest,9.2.1,4.0
9,Rest,9.3.1,3.0
9,Rest,9.4.1,5.0
9,Rest,9.5.1,4.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,5.0
9,Rest,Теор,38.0
9,Rest,Прак,30.0
9,Rest,Блиц,30.0
9,MO,№,6.0
9,MO,9.1,4.0
9,MO,9.2,2.0
