grade,task_id,test_bins,p_bins,p_mw,sig_bins_fdr05,sig_mw_fdr05
9,10.1,chi2,,,False,False
9,10.1.1,chi2,,,False,False
9,10.2,chi2,,,False,False
9,10.2.1,chi2,,,False,False
9,10.3,chi2,,,False,False
9,10.3.1,chi2,,,False,False
9,10.4,chi2,,,False,False
9,10.4.1,chi2,,,False,False
9,10.5,chi2,,,False,False
9,10.5.1,chi2,,,False,False
9,10.6,chi2,,,False,False
9,10.6.1,chi2,,,False,False
9,10.7,chi2,,,False,False
9,10.7.1,chi2,,,False,False
9,10.8,chi2,,,False,False
9,11.1,chi2,,,False,False
9,11.1.1,chi2,,,False,False
9,11.2,chi2,,,False,False
9,11.2.1,chi2,,,False,False
9,11.3,chi2,,,False,False
9,11.3.1,chi2,,,False,False
9,11.4,chi2,,,False,False
9,11.4.1,chi2,,,False,False
9,11.5,chi2,,,False,False
9,11.5.1,chi2,,,False,False
9,11.6,chi2,,,False,False
9,11.6.1,chi2,,,False,False
9,11.7,chi2,,,False,False
9,11.7.1,chi2,,,False,False
9,11.8,chi2,,,False,False
9,9.1,chi2,0.27397032867151827,0.05005862565834443,False,False
9,9.1.1,error,,0.6298894555479047,False,False
9,9.2,chi2,0.4254948451652093,0.12362100131782289,False,False
9,9.2.1,error,,0.26629991515011525,False,False
9,9.3,chi2,0.04011020194167807,0.032368057156478613,False,False
9,9.3.1,error,,0.14246821554610578,False,False
9,9.4,chi2,0.11810312615087032,0.043437879107089246,False,False
9,9.4.1,error,,0.001640072851538696,False,True
9,9.5,chi2,8.958647673970328e-06,0.0005694598706190967,True,True
9,9.5.1,error,,0.09776423403727769,False,False
9,9.6,chi2,0.0010227561355267633,0.0009074106779124374,False,True
9,9.6.1,error,,0.5500193308655834,False,False
9,9.7,chi2,0.6446357929354278,0.0026314933926695687,False,True
9,9.7.1,error,,0.01856725346874486,False,False
9,9.8,chi2,0.5862797424798265,0.00010008287367950546,False,True
9,Блиц,error,,0.005681491463453459,False,False
9,Прак,error,,3.699244008118071e-05,False,True
9,Теор,chi2,0.3491858526038865,0.00022308829231279143,False,True
9,№,chi2,0.5820096599300271,0.9999889658470658,False,False
10,10.1,chi2,0.6505899775988149,0.24156924552283754,False,False
10,10.1.1,error,,0.34152058048043077,False,False
10,10.2,error,,0.0004127118782897571,False,True
10,10.2.1,error,,0.7809316187047357,False,False
10,10.3,chi2,0.18043615969875107,0.7230907576929431,False,False
10,10.3.1,error,,0.1168319570454931,False,False
10,10.4,chi2,0.07712201342249857,0.048258040632325215,False,False
10,10.4.1,error,,0.028899567241845454,False,False
10,10.5,chi2,0.4013160458582313,0.32977102841398076,False,False
10,10.5.1,error,,0.5638758886134362,False,False
10,10.6,chi2,0.017919263154809902,0.012723430645565154,False,False
10,10.6.1,error,,0.0004032119329930747,False,True
10,10.7,chi2,0.3667625012410734,0.02148373493247538,False,False
10,10.7.1,error,,0.017894394109394574,False,False
10,10.8,chi2,0.07196381879999662,0.0008823321052205865,False,True
10,11.1,chi2,,,False,False
10,11.1.1,chi2,,,False,False
10,11.2,chi2,,,False,False
10,11.2.1,chi2,,,False,False
10,11.3,chi2,,,False,False
